SpecId	Label	ScanNr	ExpMass	Mass	MS8_feature_5	missedCleavages	MS8_feature_7	MS8_feature_13	MS8_feature_20	MS8_feature_21	MS8_feature_22	MS8_feature_24	MS8_feature_29	MS8_feature_30	MS8_feature_32	MS8_feature_33	MS8_feature_34	MS8_feature_35	MS8_feature_37	MS8_feature_38	MS8_feature_39	MS8_feature_40	MS8_feature_41	MS8_feature_42	MS8_feature_43	MS8_feature_44	MS8_feature_45	MS8_feature_47	MS8_feature_52	MS8_feature_53	MS8_feature_55	MS8_feature_56	MS8_feature_57	MS8_feature_58	MS8_feature_60	MS8_feature_61	MS8_feature_62	MS8_feature_63	MS8_feature_64	MS8_feature_65	MS8_feature_66	MS8_feature_67	MS8_feature_68	MS8_feature_70	MS8_feature_75	MS8_feature_76	MS8_feature_78	MS8_feature_79	MS8_feature_80	MS8_feature_81	MS8_feature_83	MS8_feature_84	MS8_feature_85	MS8_feature_86	MS8_feature_87	MS8_feature_88	MS8_feature_89	MS8_feature_90	MS8_feature_91	MS8_feature_93	MS8_feature_98	MS8_feature_99	MS8_feature_101	MS8_feature_102	MS8_feature_103	MS8_feature_104	MS8_feature_106	MS8_feature_107	MS8_feature_108	MS8_feature_109	MS8_feature_110	MS8_feature_111	MS8_feature_116	MS8_feature_118	MS8_feature_119	MS8_feature_124	MS8_feature_126	MS8_feature_127	MS8_feature_132	MS8_feature_134	MS8_feature_135	MS8_feature_140	MS8_feature_142	MS8_feature_143	MS8_feature_144	MS8_feature_146	MS8_feature_147	MS8_feature_148	MS8_feature_149	MS8_feature_150	MS8_feature_151	MS8_feature_152	MS8_feature_153	MS8_feature_154	MS8_feature_155	MS8_feature_156	MS8_feature_157	MS8_feature_158	Peptide	Proteins	ModifiedPeptide	PCM	PeptideGroup
390120	1	52505	2984.374317675	2984.374317675	27	1	4.39773287346864	1.05600619360352	0.185185185185185	1.11111111111111	2.81481481481481	35	4.99716807635322	0.174402239166153	0.111111111111111	0.00529100552753166	0.0804232844599971	0.0317460320614002	-1.20775864924016	0.00317460326132951	0.600000023841858	0.000922763211442017	0.00055365791724004	0.104641347657766	0.0740740740740741	0.444444444444444	2.55555555555556	14	4.56519603562033	0.358209911483048	0.037037037037037	0.00529100552753166	0.182539674970839	0.0317460320614002	-1.51853827336966	0.00264550276376583	0.5	0.00189529062167343	0.000947645310836716	0.179104955741524	0.0740740740740741	0.592592592592593	2.55555555555556	18	4.56519603562033	0.355785448846456	0.037037037037037	0.00411522636810939	0.141975305698536	0.0329218109448751	-1.51853827336966	0.00205761318405469	0.5	0.00146413766048257	0.000732068830241284	0.177892724423228	0.185185185185185	1.11111111111111	2.55555555555556	35	4.92084022385512	0.15368946169618	0.111111111111111	0.00529100552753166	0.0730158708713673	0.0317460320614002	-1.1792680662246	0.00317460326132951	0.600000023841858	0.000813171791357855	0.000487903066332671	0.0922136806819505	0.0740740740740741	0.148148148148148	0.839147686958313	0	0.0740740740740741	0.596351504325867	0	0.0740740740740741	0.596351504325867	0.0740740740740741	0.148148148148148	0.839147686958313	4	14.0633640289307	14.0633640289307	7.51776170730591	7.18997812271118	0	0	0	0	0	0	0	0	-1.05600619360352	262211	_.dummy._	5133041	513304104	3746459
167618	-1	35142	1598.79490536	1598.79490536	13	1	5.2123265552766	0.0782731870117175	0.615384615384615	1.38461538461538	29.6153846153846	26	6.23419631596735	0.68169286154319	0.461538461538462	0.02366863993498	1.139053271367	0.0532544392805833	-1.23618708000169	0.0177514793781134	0.75	0.0161347428861119	0.012101056773891	0.511269646157393	0.153846153846154	1.07692307692308	26.9230769230769	16	4.21731303051421	0.509927000412204	0.0769230769230769	0.00961538461538462	1.68269230769231	0.0673076923076923	-3.04056367951856	0.00480769230769231	0.5	0.00490314423473273	0.00245157211736636	0.254963500206102	0.230769230769231	1.46153846153846	26.9230769230769	22	4.39931826509783	0.475203076933652	0.0769230769230769	0.0104895108021223	1.22377623044527	0.0664335672671978	-2.85876431935613	0.00349650360070742	0.333333343267441	0.00498464780869727	0.00166154926956576	0.158401030365269	0.384615384615385	1.61538461538462	26.9230769230769	26	5.167312164545	0.786869767626696	0.230769230769231	0.0147928996728017	1.0355029472938	0.0621301761040321	-2.0936832299775	0.00887573968905669	0.600000023841858	0.0116400855280625	0.00698405122664308	0.472121879336455	0.384615384615385	0.538461538461538	3.06590270996094	0.0769230769230769	0.0769230769230769	4.209068775177	0.0769230769230769	0.0769230769230769	7.7958083152771	0.230769230769231	0.230769230769231	3.89074325561523	3	14.6776256561279	8.77441215515137	4.29312372207642	5.5558910369873	0	0	0	0	0	0	0	0	0.0782731870117175	2286595	_.dummy._	2178398	217839803	1788327
47826	1	38693	1483.782350015	1483.782350015	12	1	5.33775257770524	0.744991249755863	0.666666666666667	1.91666666666667	25.5	31	5.87355472778032	0.534035432491101	0.416666666666667	0.0215053757031759	0.822580655415853	0.0618279576301575	-1.43610371273436	0.0134408598144849	0.625	0.0114846326145291	0.00717789538408071	0.333772145306938	0.166666666666667	0.916666666666667	22.8333333333333	13	4.66878509363779	0.754139716754149	0.166666666666667	0.0128205132981141	1.75641028086344	0.0705128212769826	-2.33735102703985	0.0128205132981141	1	0.0096684582672826	0.0096684582672826	0.754139716754149	0.25	1.58333333333333	22.8333333333333	22	4.77529467454582	0.658024571737302	0.166666666666667	0.0113636367022991	1.03787875175476	0.0719696978727977	-2.23139621492402	0.00757575780153275	0.666666686534882	0.00747755217440866	0.00498503478293911	0.438683060898641	0.583333333333333	2	22.8333333333333	31	5.52196035496777	0.335201948098924	0.416666666666667	0.0188172037402789	0.736559152603149	0.0645161271095276	-1.49625222801692	0.0134408598144849	0.714285731315613	0.00630756335151585	0.00450540239393989	0.239429968636258	0.416666666666667	0.416666666666667	2.52091455459595	0.166666666666667	0.166666666666667	3.12026619911194	0.166666666666667	0.166666666666667	3.1865119934082	0.416666666666667	0.416666666666667	3.1865119934082	3	16.0624752044678	13.8793077468872	5.27713108062744	6.50826787948608	0	0	0	0	0	0	0	0	-0.744991249755863	1213451	_.dummy._	1880410	188041003	1559331
359331	1	18444	1183.667320195	1183.667320195	10	1	6.12276125811099	0.270538490722657	1.9	3	32.7	49	5.97991528159032	0.57267582678189	1.5	0.038775509595871	0.667346954345703	0.061224490404129	-1.32001952824315	0.0306122452020645	0.789473712444305	0.0222057970167045	0.0175308928307422	0.452112510996611	0.8	1	30.8	18	5.78178085730006	0.655658925416336	0.4	0.0444444447755814	1.71111106872559	0.0555555582046509	-1.43898612357943	0.0222222223877907	0.5	0.0291403969022833	0.0145701984511417	0.327829462708168	0.8	1.1	30.8	19	5.78178085730006	0.655627392114648	0.4	0.0421052634716034	1.62105255126953	0.0578947365283966	-1.43898612357943	0.0210526317358017	0.5	0.0276053640841875	0.0138026820420937	0.327813696057324	1.8	3.1	30.8	49	5.95758229764957	0.58055416687301	1	0.0367346942424774	0.62857141494751	0.0632653057575226	-1.27100066455503	0.0204081639647484	0.555555582046509	0.0213264798112762	0.0118480446279623	0.322530108086661	0.7	1.5	3.03113651275635	0.3	0.6	2.37042498588562	0.3	0.6	2.37042498588562	0.7	1.4	2.80746483802795	2	35.2330551147461	32.9816856384277	17.0362358093262	16.7780094146729	0	0	0	0	0	0	0	0	-0.270538490722657	1609781	_.dummy._	1073974	107397402	917244
386276	-1	52222	2157.13174962	2157.13174962	20	0	5.68164180569935	2.12772823779297	0.4	1.35	7.2	35	5.70817946389208	0.498652638108247	0.3	0.0114285714924335	0.205714297294617	0.0385714292526245	-1.00793118166035	0.00857142880558968	0.75	0.00569888732451069	0.00427416558626431	0.373989478581185	0.2	0.65	6.45	17	5.36070693010246	0.463411802279457	0.05	0.0117647059261799	0.379411768913269	0.0382352948188782	-1.1873224847461	0.00294117648154497	0.25	0.00545190357653882	0.00136297589413471	0.115852950569864	0.2	0.95	6.45	23	5.36070693010246	0.455372915401306	0.05	0.00869565233588219	0.280434775352478	0.0413043469190598	-1.1873224847461	0.00217391308397055	0.25	0.00395976455550685	0.000989941138876712	0.113843228850326	0.3	1.45	6.45	35	5.4551354353134	0.423540036056866	0.15	0.00857142880558968	0.184285712242126	0.0414285719394684	-1.09969300649458	0.00428571440279484	0.5	0.00363034326537831	0.00181517163268915	0.211770018028433	0.1	0.3	2.16021394729614	0.05	0.15	4.98241281509399	0.05	0.15	4.98241281509399	0.1	0.25	2.36352443695068	3	18.0569248199463	13.3281621932983	10.527138710022	9.83438110351563	0	0	0	0	0	0	0	0	-2.12772823779297	3249142	_.dummy._	3508895	350889503	2747619
25224	1	17810	880.4146592	880.4146592	7	0	5.85153056151893	1.78989472460938	0.857142857142857	3.42857142857143	36.2857142857143	30	6.29093269954976	0.428240745775105	0.428571428571429	0.028571428997176	1.20952374594552	0.114285715988704	-1.51308296585261	0.014285714498588	0.5	0.0122354500616111	0.00611772503080557	0.214120372887553	0.857142857142857	1.42857142857143	33.4285714285714	16	5.90947328745862	0.436926365035118	0.428571428571429	0.0535714285714286	2.08928571428571	0.0892857142857143	-1.65194806083597	0.0267857142857143	0.5	0.0234067695554528	0.0117033847777264	0.218463182517559	0.857142857142857	2	33.4285714285714	20	5.90947328745862	0.436439731067034	0.428571428571429	0.0428571445601327	1.67142854418073	0.0999999982970101	-1.65194806083597	0.0214285722800664	0.5	0.0187045606461253	0.00935228032306267	0.218219865533517	0.857142857142857	3.42857142857143	33.4285714285714	30	5.90947328745862	0.407990905213314	0.428571428571429	0.028571428997176	1.11428574153355	0.114285715988704	-1.65194806083597	0.014285714498588	0.5	0.0116568831797958	0.00582844158989789	0.203995452606657	0.142857142857143	0.428571428571429	1.95660102367401	0.142857142857143	0.428571428571429	1.95660102367401	0.142857142857143	0.428571428571429	1.95660102367401	0.142857142857143	0.428571428571429	1.95660102367401	2	12.4111948013306	12.4111948013306	14.5312747955322	13.7577676773071	0	0	0	0	0	0	0	0	1.78989472460938	622638	_.dummy._	253087	25308702	162764
30320	1	13682	908.40620299	908.40620299	8	0	6.41137206233307	0.00689841381835876	2.125	0.375	50.25	20	6.5573178034065	0.797149312688758	2	0.106250002980232	2.51250004768372	0.0187500007450581	-0.808890037350441	0.100000001490116	0.941176474094391	0.0846971168488706	0.0797149324567208	0.750258179443172	1.25	0.5	47.875	14	6.28472629191001	0.881772139443035	0.75	0.0892857164144516	3.41964292526245	0.0357142873108387	-0.972610138128746	0.0535714291036129	0.600000023841858	0.0787296571844751	0.0472377936537136	0.529063304688907	1.375	0.625	47.875	16	6.33015068169071	0.879153895457321	0.875	0.0859375	2.9921875	0.0390625	-0.932256254838797	0.0546875	0.636363625526428	0.0755522878908635	0.0480787286578222	0.559461560308903	1.875	0.625	47.875	20	6.38817502891096	0.87830998974208	1.125	0.09375	2.39374995231628	0.03125	-0.881427868231524	0.0562499985098839	0.600000023841858	0.08234156153832	0.0494049356142081	0.52698601478579	1.75	2.125	1.76022207736969	0.375	1.25	1.99195373058319	0.5	1.25	1.431809425354	0.5	1.5	1.76022207736969	2	42.3663940429687	36.1300468444824	24.6669540405273	26.5387954711914	0	0	0	0	0	0	0	0	-0.00689841381835876	1712868	_.dummy._	324461	32446102	290008
40053	-1	29577	949.486896165	949.486896165	9	1	5.88536638828105	1.93769905419922	0.666666666666667	1.33333333333333	42	18	5.81349337866575	0.766459417695806	0.333333333333333	0.0370370381408268	2.33333333333333	0.0740740762816535	-1.5919517047843	0.0185185190704134	0.5	0.0283873866865954	0.0141936933432977	0.383229708847903	0.333333333333333	1.22222222222222	39.3333333333333	14	4.76893763892353	0.401647829079543	0.111111111111111	0.0238095240460502	2.80952390034994	0.0873015854093764	-2.44337817845564	0.00793650829129749	0.333333343267441	0.00956304364451323	0.00318768132567143	0.133882613683194	0.333333333333333	1.22222222222222	39.3333333333333	14	4.76893763892353	0.401647829079543	0.111111111111111	0.0238095240460502	2.80952390034994	0.0873015854093764	-2.44337817845564	0.00793650829129749	0.333333343267441	0.00956304364451323	0.00318768132567143	0.133882613683194	0.666666666666667	1.33333333333333	39.3333333333333	18	5.81349337866575	0.766459417695806	0.333333333333333	0.0370370381408268	2.18518511454264	0.0740740762816535	-1.41431471970395	0.0185185190704134	0.5	0.0283873866865954	0.0141936933432977	0.383229708847903	0.222222222222222	0.555555555555556	2.90205049514771	0	0.333333333333333	5.2291431427002	0	0.333333333333333	5.2291431427002	0.222222222222222	0.555555555555556	2.90205049514771	2	12.1173257827759	12.1173257827759	6.48093557357788	6.48093557357788	0	0	0	0	0	0	0	0	-1.93769905419922	3633881	_.dummy._	433285	43328502	382992
367053	-1	35552	1870.80521212	1870.80521212	16	0	6.20889592544922	1.17524346264648	0.25	2.8125	15.8125	49	6.30578456094728	0.544350112192284	0.1875	0.00510204071179032	0.322704076766968	0.0573979578912258	-1.36081963711216	0.00382653065025806	0.75	0.00277729643387267	0.00208297238877519	0.408262584144213	0.125	1.3125	14.3125	23	5.64912605991848	0.244270298945752	0.0625	0.00543478270992637	0.62228262424469	0.0570652186870575	-1.8728891177988	0.00271739135496318	0.5	0.00132755599725892	0.00066377799862946	0.122135149472876	0.125	1.5625	14.3125	27	5.64912605991848	0.243894863354855	0.0625	0.00462962966412306	0.530092597007751	0.0578703694045544	-1.8728891177988	0.00231481483206153	0.5	0.00112914289431488	0.000564571447157438	0.121947431677427	0.25	2.8125	14.3125	49	5.99212959222664	0.520716942647019	0.1875	0.00510204071179032	0.292091846466064	0.0573979578912258	-1.53683038925541	0.00382653065025806	0.75	0.00265671904070408	0.00199253934114749	0.390537706985264	0.0625	0.1875	0.881352841854095	0	0.0625	0.638198435306549	0	0.0625	0.638198435306549	0.0625	0.1875	0.881352841854095	3	6.82222652435303	6.82222652435303	4.57577419281006	4.36974668502808	0	0	0	0	0	0	0	0	1.17524346264648	3257545	_.dummy._	2851675	285167503	2230792
127445	1	8602	787.455202065	787.455202065	7	1	5.4234912952115	0.246485418334959	1	2.85714285714286	29	27	5.75456643172196	0.659368104534883	0.857142857142857	0.0370370362486158	1.07407406398228	0.105820102351052	-1.21638413351247	0.0317460319825581	0.857142865657806	0.0244210403888396	0.0209323209348431	0.565172666644386	0.428571428571429	0.857142857142857	28	9	4.81998566508831	0.420442228253626	0.428571428571429	0.0476190490382058	3.11111123221261	0.0952380980764117	-2.07753518410749	0.0476190490382058	1	0.0200210590849419	0.0200210590849419	0.420442228253626	0.428571428571429	0.857142857142857	28	9	4.81998566508831	0.420442228253626	0.428571428571429	0.0476190490382058	3.11111123221261	0.0952380980764117	-2.07753518410749	0.0476190490382058	1	0.0200210590849419	0.0200210590849419	0.420442228253626	0.714285714285714	3.14285714285714	28	27	5.27169047711702	0.557654775620074	0.571428571428571	0.0264550255877631	1.03703703199114	0.116402115140642	-1.6324262501936	0.0211640213217054	0.800000011920929	0.0147527713581674	0.0118022175613741	0.446123827143822	0.714285714285714	0.857142857142857	0.933493852615356	0.142857142857143	0.428571428571429	1.03335058689117	0.142857142857143	0.428571428571429	1.03335058689117	0.285714285714286	0.714285714285714	0.933493852615356	2	14.2870388031006	10.0147047042847	8.06303119659424	8.06303119659424	0	0	0	0	0	0	0	0	-0.246485418334959	1112661	_.dummy._	68877	6887702	64930
